,,,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,,,
window,date range,no_of_days,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,initial_value,final_account_value,downside_deviation
11,05-Apr-2023 - 02-Jul-2023,89,949003.5971,47163.4875,838311.4392,916482.073,946672.386,988572.3289,1039809.057,0.0002103710179,0.02006938696,-0.05886544449,-0.008456559465,0.000008715864883,0.009708967509,0.05446949444,1000000,1000970.825,0.01466115486
12,03-Jun-2023 - 30-Aug-2023,89,1011157.088,53169.54011,910928.429,957341.0512,1030085.072,1050408.868,1107370.641,-0.0003178760048,0.01919210311,-0.07068765181,-0.00740141949,-0.0002723019691,0.005003572955,0.05378298614,1000000,956453.4682,0.01419381798
13,03-Aug-2023 - 31-Oct-2023,90,911201.6493,47698.58496,843378.5346,879231.7319,894889.3649,949851.5616,1013382.089,-0.0002304160226,0.01595848056,-0.06595773221,-0.005616946391,-0.0004600258912,0.006194270099,0.05637723621,1000000,968394.3951,0.01249950298
14,03-Oct-2023 - 31-Dec-2023,90,1325725.066,199949.5219,975895.3847,1235191.415,1348043.045,1526276.255,1602704.345,0.005019195264,0.02259068314,-0.05745854158,-0.006837124635,0.002060499751,0.01367220733,0.101431279,1000000,1534757.585,0.01297795184
15,03-Dec-2023 - 01-Mar-2024,90,1133625.426,123015.9302,991247.4359,1058524.803,1084365.596,1170578.886,1560881.058,0.005282253721,0.02581513311,-0.07572952688,-0.008530929742,0.003075038922,0.01685557055,0.09334616956,1000000,1560270.166,0.01687906943
16,02-Feb-2024 - 29-Apr-2024,88,1424689.247,202034.8953,985692.7283,1206756.798,1480299.428,1582075.746,1692010.918,0.004941899971,0.03152597086,-0.08398025454,-0.009758710804,0.003292228679,0.02118463678,0.09537727981,1000000,1478498.868,0.0204680739
17,04-Apr-2024 - 01-Jul-2024,89,1038048.706,89403.47744,898202.7655,963261.8028,1033217.316,1118621.346,1199625.806,0.001078022027,0.02918220962,-0.06675645126,-0.01369576799,0.0007794813995,0.01330001678,0.1842206423,1000000,1062003.566,0.01374024377
18,03-Jun-2024 - 30-Aug-2024,89,835815.4337,109203.4413,622023.5332,717426.5332,867991.7332,924260.4832,1026116.623,-0.003931086348,0.03334023172,-0.1000825688,-0.02091551935,-0.0004762719474,0.0125841557,0.1448573811,1000000,670691.9332,0.02335133987
19,03-Aug-2024 - 31-Oct-2024,90,1016589.257,68127.7668,885839.658,969595.013,1003019.308,1055099.613,1190350.558,0.001902158458,0.02668631974,-0.07175760996,-0.01377969976,0.0009377539612,0.01413082911,0.1194874463,1000000,1150038.098,0.01609200402
20,03-Oct-2024 - 31-Dec-2024,90,1321756.576,224307.0003,1000000,1096485.634,1354938.759,1487054.259,1702998.884,0.004470205452,0.03420966714,-0.07290888515,-0.01598465628,0.001504575706,0.01944507716,0.1234077121,1000000,1419791.634,0.0183094169
21,03-Dec-2024 - 02-Mar-2025,90,886180.5227,127268.9884,613900.0977,758306.7327,910845.2577,960833.4777,1107448.068,-0.003318297947,0.03720246364,-0.1084673314,-0.02507702267,-0.00053057772,0.01641504076,0.1352773038,1000000,696946.8477,0.02457903948
22,02-Feb-2025 - 29-Apr-2025,87,908548.404,62196.52047,786120.5994,861548.6994,885120.8994,976310.9994,1036181.599,-0.0000115496181,0.02823439741,-0.08336184771,-0.01356712058,-0.0001101845158,0.00986585595,0.09287020641,1000000,965464.5994,0.01922224353
