account_value,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
89.0,1012939.6185168024,53940.74859572676,913914.161021244,960683.18656543,1031623.05358197,1054764.02876896,1107170.2703456,89.0,-0.0002764459036752812,0.01874702356062902,-0.07053704308,-0.00798031603,0.0,0.007107870168,0.05527241404,89.0,50.89887640449438,9.069234887820453,-1.0,49.0,52.0,56.0,65.0,89.0,0.018202247191011236,0.18009190707772726,-1.0,-0.02,0.04,0.12,0.3
90.0,908381.4445430001,44485.90832900759,850608.01583,879740.69083,892078.0158299999,927534.86583,1016902.71583,90.0,-0.0006050769308577779,0.014510594645723322,-0.05991016178,-0.007928332517,0.0,0.0062048940705,0.04912446833,90.0,47.48888888888889,9.938286475917426,-1.0,41.0,47.0,50.75,72.0,90.0,-0.05,0.1976775265283892,-1.0,-0.18,-0.06,0.015,0.44
90.0,1192108.9912456,158039.42606971003,929186.280136,1074620.835136,1223778.9151360001,1339601.647636,1434946.500136,90.0,0.00388141873212,0.02583420818509357,-0.05407187278,-0.009654299306250001,0.001650087459,0.0149599076875,0.1234222184,90.0,64.56666666666666,11.430345969775544,-1.0,63.0,68.5,72.0,75.0,90.0,0.2915555555555555,0.22732400828788388,-1.0,0.26,0.37,0.44,0.5
90.0,1068501.3048811972,130813.39450756893,939132.608046103,985437.6085626835,1002555.6378843749,1106578.7797520524,1480512.56742658,90.0,0.004680160655652112,0.02523130197479078,-0.0616835751,-0.007321327095,6.764334395e-05,0.020726875675,0.1022486614,90.0,67.16666666666667,10.747615361328121,-1.0,63.0,71.0,73.0,82.0,90.0,0.3435555555555556,0.21353267839857654,-1.0,0.26,0.42,0.46,0.64
88.0,1398197.4339781136,187753.07670795007,991556.107702,1295101.015202,1411442.702702,1520529.475202,1760135.437702,88.0,0.004340684947888637,0.03385861099660565,-0.1027711479,-0.0122987345725,0.0032805897385,0.0246763735725,0.1132987116,88.0,73.79545454545455,10.277929809563982,-1.0,72.0,75.0,79.0,90.0,88.0,0.4761363636363637,0.20388993998724944,-1.0,0.44,0.5,0.58,0.8
89.0,1016129.1859910113,53411.29391819356,912160.25515,987780.35515,1010995.55515,1029601.85515,1214469.95515,89.0,0.00013062213115730287,0.0245893262082699,-0.07132493672,-0.01324384485,-0.001032409873,0.01380553815,0.094627982,89.0,66.19101123595506,12.901617591053512,-1.0,64.0,71.0,74.0,80.0,89.0,0.3240449438202247,0.25685474804539377,-1.0,0.28,0.42,0.48,0.6
89.0,906163.9453626967,77557.72509780622,741028.82656,847960.82656,916110.02656,938932.82656,1135240.82656,89.0,-0.001275406867679776,0.031578136052250155,-0.07740608425,-0.01919868471,-0.001117102554,0.01714599973,0.09454282656,89.0,49.10112359550562,19.383712084575862,-1.0,30.0,51.0,69.0,78.0,89.0,-0.01775280898876404,0.38709216898970755,-1.0,-0.4,0.02,0.38,0.56
90.0,1016936.1374662222,68213.83417425571,886149.02784,970070.9553400001,1003230.59284,1055388.23034,1190841.85784,90.0,0.0019059656634888896,0.02665997937258619,-0.07175760996,-0.0137299719825,0.00092786896495,0.014131211875,0.1193275707,90.0,45.08888888888889,17.55354213394521,-1.0,30.0,46.5,55.75,77.0,90.0,-0.098,0.35048666005485074,-1.0,-0.4,-0.07,0.11499999999999999,0.54
90.0,1130780.2426007004,99282.33789684907,983436.424926014,1054400.73492601,1107219.2449260098,1225358.18742601,1334290.80492601,90.0,0.0028476650827884446,0.027493653800448103,-0.07114346093,-0.011859715185,0.001206157191,0.01482323759,0.1339560677,90.0,72.17777777777778,14.157681662702476,-1.0,71.25,74.5,80.0,94.0,90.0,0.44377777777777777,0.2819976005068757,-1.0,0.425,0.49,0.6,0.88
90.0,1013000.7231365312,48553.48515403665,868197.255316269,988568.0396147018,1008207.89380027,1046577.16554227,1103474.41251,90.0,-4.1075651118889656e-05,0.02436481147851002,-0.05615861327,-0.0149660146225,-0.0004477813103,0.010875692315000001,0.0964417569,90.0,63.12222222222222,18.224460521463374,-1.0,50.0,71.5,75.0,87.0,90.0,0.26266666666666666,0.36370379354387034,-1.0,0.0,0.43,0.5,0.74
87.0,963315.7107546672,54046.07166049302,843362.467692855,927570.6355552425,951252.433832715,994719.5324101655,1113951.12257254,87.0,-0.00025362758074022986,0.02825545736530232,-0.08157649113,-0.01068269325,0.0004141373218,0.01352096191,0.08298694237,87.0,38.241379310344826,13.760379183899087,-1.0,28.5,38.0,47.0,72.0,87.0,-0.2349425287356322,0.27455195451574343,-1.0,-0.43,-0.24,-0.06,0.44
