,,,account_value,account_value,account_value,account_value,account_value,account_value,account_value,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,daily_return,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,fear_greed_norm,,,
window,date range,no_of_days,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,mean,std,min,25.00%,50.00%,75.00%,max,initial_value,final_account_value,downside_deviation
10,02-Feb-2023 - 29-Apr-2023,87,1001107.901,60194.20093,857391.7797,955978.1934,1010434.324,1049711.956,1123044.362,0.0008593410849,0.02470284537,-0.06365339104,-0.01127659331,-0.0002864712444,0.0109528758,0.07686236758,55.97701149,9.724073474,-1,51,58,62,69,0.1197701149,0.19312592,-1,0.02,0.16,0.24,0.38,1000000,1049856.429,0.01601346293
11,05-Apr-2023 - 02-Jul-2023,89,984443.6729,45088.27093,872554.4031,960640.1385,984283.99,1000385.924,1119877.166,0.0005428750719,0.02363750041,-0.0806889148,-0.009352996121,0,0.01271300377,0.06186802856,54.57303371,9.064024343,-1,50,53,61,69,0.09168539326,0.1798941353,-1,0,0.06,0.22,0.38,1000000,1023890.834,0.01735728077
12,03-Jun-2023 - 30-Aug-2023,89,1012939.619,53940.7486,913914.161,960683.1866,1031623.054,1054764.029,1107170.27,-0.0002764459037,0.01874702356,-0.07053704308,-0.00798031603,0,0.007107870168,0.05527241404,50.8988764,9.069234888,-1,49,52,56,65,0.01820224719,0.1800919071,-1,-0.02,0.04,0.12,0.3,1000000,960683.1866,0.01420922363
13,03-Aug-2023 - 31-Oct-2023,90,908381.4445,44485.90833,850608.0158,879740.6908,892078.0158,927534.8658,1016902.716,-0.0006050769309,0.01451059465,-0.05991016178,-0.007928332517,0,0.006204894071,0.04912446833,47.48888889,9.938286476,-1,41,47,50.75,72,-0.05,0.1976775265,-1,-0.18,-0.06,0.015,0.44,1000000,938109.7158,0.01099787293
14,03-Oct-2023 - 31-Dec-2023,90,1192108.991,158039.4261,929186.2801,1074620.835,1223778.915,1339601.648,1434946.5,0.003881418732,0.02583420818,-0.05407187278,-0.009654299306,0.001650087459,0.01495990769,0.1234222184,64.56666667,11.43034597,-1,63,68.5,72,75,0.2915555556,0.2273240083,-1,0.26,0.37,0.44,0.5,1000000,1376769.06,0.01376010817
15,03-Dec-2023 - 01-Mar-2024,90,1068501.305,130813.3945,939132.608,985437.6086,1002555.638,1106578.78,1480512.567,0.004680160655,0.02523130197,-0.0616835751,-0.007321327095,0.00006764334393,0.02072687568,0.1022486614,67.16666667,10.74761536,-1,63,71,73,82,0.3435555556,0.2135326784,-1,0.26,0.42,0.46,0.64,1000000,1480512.567,0.0151588693
16,02-Feb-2024 - 29-Apr-2024,88,1398197.434,187753.0767,991556.1077,1295101.015,1411442.703,1520529.475,1760135.438,0.004340684948,0.033858611,-0.1027711479,-0.01229873457,0.003280589739,0.02467637357,0.1132987116,73.79545455,10.27792981,-1,72,75,79,90,0.4761363636,0.20388994,-1,0.44,0.5,0.58,0.8,1000000,1392921.128,0.02421995516
17,04-Apr-2024 - 01-Jul-2024,89,1016129.186,53411.29392,912160.2552,987780.3552,1010995.555,1029601.855,1214469.955,0.000130622131,0.02458932621,-0.07132493672,-0.01324384485,-0.001032409873,0.01380553815,0.094627982,66.19101124,12.90161759,-1,64,71,74,80,0.3240449438,0.256854748,-1,0.28,0.42,0.48,0.6,1000000,985219.8552,0.01596240842
18,03-Jun-2024 - 30-Aug-2024,89,906163.9454,77557.7251,741028.8266,847960.8266,916110.0266,938932.8266,1135240.827,-0.001275406868,0.03157813605,-0.07740608425,-0.01919868471,-0.001117102554,0.01714599973,0.09454282656,49.1011236,19.38371208,-1,30,51,69,78,-0.01775280899,0.387092169,-1,-0.4,0.02,0.38,0.56,1000000,854344.8266,0.02036101171
19,03-Aug-2024 - 31-Oct-2024,90,1016936.137,68213.83417,886149.0278,970070.9553,1003230.593,1055388.23,1190841.858,0.001905965664,0.02665997937,-0.07175760996,-0.01372997198,0.0009278689652,0.01413121188,0.1193275707,45.08888889,17.55354213,-1,30,46.5,55.75,77,-0.098,0.3504866601,-1,-0.4,-0.07,0.115,0.54,1000000,1150501.088,0.01608295003
