date,account_value,reward,daily_volatility,trade_count,window
2021-12-10,780593.2971512792,-1.0005743503570557,21621.300000000003,0,6
2021-12-11,817881.6558651547,3.7288358211517334,22650.309999999998,0,6
2021-12-12,828585.547312188,1.0703891515731812,22961.95,0,6
2021-12-13,771839.8822709541,-5.674566268920898,21460.41,0,6
2021-12-14,797845.9256787975,2.600604295730591,22242.144999999997,0,6
2021-12-15,808692.1324011204,1.084620714187622,22422.95,0,6
2021-12-16,789094.3260163495,-1.9597806930541992,21837.135,0,6
2021-12-17,765065.952474819,-2.4028372764587402,21127.89,0,6
2021-12-18,777192.5289131461,1.2126576900482178,21437.275,0,6
2021-12-19,774219.9386511259,-0.29725903272628784,21378.545000000002,0,6
2021-12-20,778095.7210519896,0.38757824897766113,21484.715000000004,0,6
2021-12-21,808970.959944509,3.087523937225342,22437.864999999998,0,6
2021-12-22,803799.1469810065,-0.5171812772750854,22304.325000000004,0,6
2021-12-23,839974.3873837199,3.6175241470336914,23363.699999999997,0,6
2021-12-24,838457.0446611843,-0.15173427760601044,23386.82,0,6
2021-12-25,833089.797256045,-0.5367247462272644,23152.415,0,6
2021-12-26,838117.9866027012,0.5028189420700073,23355.964999999997,0,6
2021-12-27,836509.9478039895,-0.160803884267807,23332.105,0,6
2021-12-28,784626.454600849,-5.18834924697876,21875.495,0,6
2021-12-29,765395.0576080868,-1.9231396913528442,21417.235000000004,0,6
2021-12-30,776714.309051743,1.131925106048584,21705.8,0,6
2021-12-31,762563.8410448877,-1.4150468111038208,21270.350000000002,0,6
2022-01-01,786785.9118091885,2.4222071170806885,21978.555,0,6
2022-01-02,781448.3037865851,-0.5337607860565186,21728.954999999998,0,6
2021-11-05,1000000.0,0.0,0.0,0,7
2022-01-05,1000000.0,0.0,19955.25,0,7
2022-01-06,998938.176779098,-0.10618232190608978,19837.75,1,7
2022-01-07,945492.8728998478,-5.3445305824279785,19183.620000000003,2,7
2022-01-08,911222.4829783483,-3.4270389080047607,19299.395,2,7
2022-01-09,931893.2961496586,2.0670812129974365,19356.325,0,7
2022-01-10,911782.1023325486,-2.0111193656921387,19369.905,0,7
2022-01-11,957691.627168898,4.590952396392822,19744.785,0,7
2022-01-12,996314.3100595326,3.8622682094573975,20265.700000000004,0,7
2022-01-13,957881.0841122003,-3.843322515487671,19659.75,0,7
2022-01-14,977458.7931433531,1.9577709436416626,19876.27,0,7
2022-01-15,982868.4647923035,0.5409671664237976,19879.125,0,7
2022-01-16,988906.9402988286,0.6038475632667542,19862.39,0,7
2022-01-17,948763.0304569479,-4.01439094543457,19495.975,0,7
2022-01-18,934376.294294476,-1.4386736154556274,19596.135000000002,0,7
2022-01-19,912104.7777324052,-2.22715163230896,19287.995000000003,0,7
2022-01-20,887770.917909655,-2.4333860874176025,18839.715000000004,0,7
2022-01-21,760386.666479525,-12.738425254821777,16938.579999999998,0,7
2022-01-22,714597.9246473545,-4.578874111175537,16329.619999999999,0,7
2022-01-23,751854.6101604409,3.7256686687469482,16852.770000000004,0,7
2022-01-24,723104.5167627282,-2.875009298324585,17110.53,0,7
2022-01-25,728892.0150462384,0.5787498354911804,17249.745000000003,0,7
