window,agent,sharpe,sortino,avg_account_value,final_account_value,total_trades,profit_loss,avg_daily_reward,max_drawdown,features_used
11,A2C,4.40665305403225,9.22889973030555,1333291.8376054,1420054.076972,23,"420,054.08",0.723489956223759,127914.23160159,Tur+Vol
12,PPO,2.93801818647728,4.82574427476495,1137566.69558772,1210042.89831042,3,"210,042.90",0.37695766098841,105809.91463364,Tur+Vol
13,PPO,-3.3127204709869,-3.49748351752931,861168.948491035,761197.61056,0,"-238,802.39",-0.425931047198588,281934.4,Tur+Vol
14,PPO,-2.13463854553929,-2.54782491361612,945360.739938089,893334.041002996,64,"-106,665.96",-0.208969723561715,176664.010808309,Tur+Vol
15,A2C,1.49475042667755,2.60812935731255,1003189.67638576,1058395.11053,1,"58,395.11",0.0935940342813226,61294.8999999999,Tur+Vol
16,A2C,3.65669851591345,5.21892099595601,1094923.95302862,1391220.42027,0,"391,220.42",0.644435192618906,129855.2,Tur+Vol
17,PPO,5.42264009310926,8.18015628972864,1077980.25104116,1412828.45601887,7,"412,828.46",0.748999626391792,126422.165033051,Tur+Vol
18,PPO,3.32357261696491,6.06285361266369,1352646.37231018,1382140.04424,1,"382,140.04",0.670421121936094,298625,Tur+Vol
19,PPO,0.0443376724984171,0.0729256610103948,1027107.59599654,988277.331936652,23,"-11,722.67",-0.0202114860093669,228018.693903271,Tur+Vol
20,DDPG,0.731722832673333,1.1696364188008,939797.055666552,922537.34877,0,"-77,462.65",-0.063869821742691,238290.9,Tur+Vol
21,A2C,2.90839854260642,4.60879531637117,1101504.70609097,1179436.03917999,2,"179,436.04",0.252275928097256,105203.44631437,Tur+Vol
22,A2C,2.72327894269259,5.03090814646268,1155147.92446345,1230561.49136,0,"230,561.49",0.411223162752416,174312.8,Tur+Vol
23,PPO,-1.35326387320608,-1.92114649177939,934883.987176724,883431.415625,0,"-116,568.58",-0.221862246186055,226216.05,Tur+Vol
24,A2C,0.307405441234296,0.425014077697526,1022983.28034514,1027069.457488,0,"27,069.46",0.0050137078921709,143191.68,Tur+Vol
1,PPO,-1.92602820744731,-2.56152457073055,624137.504827586,453054.67,8,"-546,945.33",-0.979958458184386,648446.63,Sentiment
2,PPO,3.83086807709213,7.36084642764606,1255991.20827586,1602565.57,0,"602,565.57",0.973299619260021,219546.67,Sentiment
3,DDPG,1.04135329059265,1.60234886537459,933729.099661017,1120061.91,0,"120,061.91",0.22180134588379,309125.79,Sentiment
4,DDPG,-0.399669733357428,-0.625045992058761,1051076.6637931,940433.65,0,"-59,566.35",-0.112218444203508,252007,Sentiment
5,PPO,-0.752478437929145,-1.21586096630098,817068.732241379,845259.28,4,"-154,740.72",-0.220948893962235,258346.04,Sentiment
6,PPO,0.323711320854073,0.49290190688452,1087827.89571429,1007648.81,0,"7,648.81",-0.0362628656772091,195857.6,Sentiment
7,PPO,-4.32127585749709,-5.36309100161251,738913.246206897,536053.76,24,"-463,946.24",-0.785151159258335,465394.79,Sentiment
8,PPO,2.35249693916,3.83996116421089,1276547.81310345,1289814.02,0,"289,814.02",0.492744834772473,239534,Sentiment
9,A2C,0.64889602233098,0.915378382869036,977796.316779661,1017461.93,6,"17,461.93",0.0448283498822627,196609.54,Sentiment
10,DDPG,-1.76503315636394,-2.33242615887752,863108.653103449,758805.31,0,"-241,194.69",-0.395987578250211,380935.8,Sentiment
11,A2C,4.47817860251986,9.34620713347224,1316112.74775862,1401330.95,13,"401,330.95",0.691884527304049,125547.89,Sentiment
12,DDPG,3.30723034942205,6.51498607158808,1217972.10535714,1303639.6,1,"303,639.60",0.535815068720175,143240.85,Sentiment
13,PPO,-3.31410173857931,-3.49925048730103,866263.416206897,765707.62,1,"-234,292.38",-0.403952391079531,283677.78,Sentiment
14,DDPG,-1.25194261627504,-1.78160956439009,956878.447586207,907828.82,0,"-92,171.18",-0.158743444573263,185359.2,Sentiment
15,DDPG,1.49475044038711,2.60812938460915,1003189.67576271,1058395.11,1,"58,395.11",0.0935940342813226,61294.9,Sentiment
16,PPO,3.23893521256091,4.85730365849364,1139667.58241379,1223232.03,24,"223,232.03",0.381920657409676,76486.76,Sentiment
17,DDPG,5.46986992472742,10.176199878026,1096304.57137931,1457010.29,0,"457,010.29",0.894574216117376,169332.88,Sentiment
18,A2C,-0.0453464780340077,-0.0694941985041023,1071474.92719298,977421.86,15,"-22,578.14",-0.177489911777931,192681.39,Sentiment
19,A2C,-0.121172365685758,-0.192401566294651,1026513.80931034,982699.73,0,"-17,300.27",-0.0258386142808817,244891.4,Sentiment
20,A2C,0.782002013418412,1.26775356242682,981107.675517242,958355.52,6,"-41,644.48",-0.0221389047159201,242804.06,Sentiment
21,PPO,3.02517583640743,4.78118298676864,1103131.04915254,1187354.64,0,"187,354.64",0.265992929622279,102858.08,Sentiment
22,DDPG,2.72327894319312,5.0309081478531,1155147.92310345,1230561.49,0,"230,561.49",0.411223162752416,174312.8,Sentiment
23,PPO,-1.25058883916651,-2.02844882859861,952620.034482759,895502.79,10,"-104,497.21",-0.197917630253681,242470.03,Sentiment
24,A2C,-1.26310989257871,-1.77309682792272,837466.384464286,826070.47,2,"-173,929.53",-0.36797579780354,335943.39,Sentiment
