date,account_value,reward,daily_volatility,window
2021-10-25,1521398.21985179,5.27262592315674,28667.1190771343,1
2021-10-26,1463388.94200303,-5.80092763900757,27393.4103360332,1
2021-10-27,1410091.8106196,-5.32971334457398,26544.0764043321,1
2021-10-28,1481374.29389118,7.12824821472168,27473.2812939558,1
2021-10-29,1523678.81749562,4.23045253753662,28224.8253191103,1
2021-10-30,1508093.31350293,-1.5585503578186,28060.1048757773,1
2021-10-31,1494775.21314306,-1.33180999755859,27805.3104191751,1
2021-10-03,1000000,0,0,2
2021-10-04,990147.6379,-0.98523622751236,22338.9269744458,2
2021-10-05,1026835.2379,3.66876006126404,23365.0761237541,2
2021-10-06,1010116.8379,-1.67183995246887,25163.2975581991,2
2021-10-07,1018476.0379,0.835919976234436,24439.5004765323,2
2021-10-08,973661.4379,-4.4814600944519,24527.9086428043,2
