date,window,Exp_2_Account_Value,turbulence,Is_high_Turbulence,Exp_3_Account_Value,fear_greed_norm,fear_greed_mapped,Is_Exp2_higher,Is_Exp3_higher
2021-12-15,3,909348.04,0.00718857813,0,917785.107,-0.44,-1,0,0
2021-12-16,3,884316.04,0.003902341306,0,892924.4501,-0.42,-1,0,0
2021-12-17,3,883140.04,0.006039727651,0,886614.6762,-0.54,-2,0,0
2021-12-18,3,897252.04,0.001753444037,0,900659.9754,-0.52,-2,0,0
2021-12-19,3,890364.04,0.001439923215,0,894481.4912,-0.42,-1,0,0
2021-12-20,3,880620.04,0.003472013025,0,887343.385,-0.5,-1,0,0
2021-12-21,3,887844.04,0.02235831973,0,900289.3836,-0.46,-1,0,0
2021-12-22,3,896748.04,0.002314366175,0,906495.5257,-0.1,-1,0,0
2021-12-23,3,922620.04,0.01490656626,0,935669.994,-0.32,-1,0,0
2021-12-24,3,911028.04,0.003772151487,0,926123.873,-0.18,-1,0,0
2021-12-25,3,919932.04,0.003190200698,0,931907.4179,-0.22,-1,0,0
2021-12-26,3,918252.04,0.004041490418,0,931872.5714,-0.26,-1,0,0
2021-12-27,3,947316.04,0.01011705268,0,955375.2194,-0.2,-1,0,0
2021-12-28,3,897756.04,0.01678817763,0,903598.9304,-0.18,-1,0,0
2021-12-29,3,864660.04,0.007514245285,0,872691.0438,-0.46,-1,0,0
2021-12-30,3,871380.04,0.003176056686,0,880524.0021,-0.56,-2,0,0
2021-12-31,3,859452.04,0.002249874029,0,867549.7476,-0.44,-1,0,0
2022-01-01,3,886164.04,0.00777805968,0,894757.2095,-0.58,-2,0,0
2022-01-02,3,892380.04,0.00725702455,0,898285.2353,-0.42,-1,0,0
2022-01-03,3,860292.04,0.006351043845,0,869053.0838,-0.42,-1,0,0
2022-01-04,3,851892.04,0.005135816138,0,859996.399,-0.54,-2,0,0
2022-01-05,3,796788.04,0.01383994749,0,806454.1335,-0.52,-2,0,0
2022-01-06,3,794268.04,0.02354860644,0,803079.4944,-0.7,-2,0,0
2022-01-07,3,753108.04,0.0117406577,0,764021.4738,-0.64,-2,0,0
2022-01-08,3,722532.04,0.02417296354,0,739422.1105,-0.8,-2,0,0
2022-01-09,3,737316.04,0.003747391321,0,752170.064,-0.54,-2,0,0
2022-01-10,3,713796.04,0.01017494421,0,732786.9979,-0.54,-2,0,0
2022-01-11,3,779148.04,0.0549987208,0,789457.7662,-0.58,-2,0,0
2022-01-12,3,819804.04,0.009704651265,0,826883.5987,-0.56,-2,0,0
2022-01-13,3,798636.04,0.004832000887,0,804790.9351,-0.58,-2,0,0
2022-01-14,3,823500.04,0.004348743322,0,826903.708,-0.58,-2,0,0
2022-01-15,3,831060.04,0.0004967707225,0,833172.4135,-0.54,-2,0,0
2022-01-16,3,837948.04,0.000379600904,0,838759.9312,-0.58,-2,0,0
2022-01-17,3,798636.04,0.008650231978,0,803513.7735,-0.56,-2,0,0
2022-01-18,3,792252.04,0.004971449232,0,798829.5685,-0.52,-2,0,0
2022-01-19,3,776292.04,0.001320883847,0,783312.9015,-0.52,-2,0,0
2022-01-20,3,739836.04,0.01247012778,0,750013.6375,-0.52,-2,0,0
2022-01-21,3,645252.04,0.0654118361,1,657579.8008,-0.62,-2,0,1
2022-01-22,3,602244.04,0.01267925157,0,617516.2956,-0.74,-2,0,0
2022-01-23,3,645252.04,0.02200907883,0,656864.5704,-0.78,-2,0,0
2022-01-24,3,624084.04,0.03148012183,0,641036.2296,-0.74,-2,0,0
2022-01-25,3,647268.04,0.01718851061,0,661055.9981,-0.76,-2,0,0
2022-01-26,3,630468.04,0.01352294243,0,646787.4019,-0.54,-2,0,0
2022-01-27,3,655332.04,0.04906747652,0,668369.0247,-0.6,-2,0,0
2022-01-28,3,648612.04,0.0568263019,0,664856.3418,-0.52,-2,0,0
2022-01-29,3,654324.04,0.004451691169,0,671131.3807,-0.52,-2,0,0
2022-01-30,3,633996.04,0.01399324673,0,653492.9667,-0.42,-1,0,0
2022-01-31,3,629124.04,0.02297139313,0,651593.6218,-0.6,-2,0,0
2022-02-01,3,645756.04,0.01226145274,0,666005.2531,-0.48,-1,0,0
2022-02-02,3,616692.04,0.011228929,0,635832.3935,-0.44,-1,0,0
2022-02-03,3,625764.04,0.002961452771,0,644730.2016,-0.6,-2,0,0
2022-02-04,3,671460.04,0.1067568012,1,697283.263,-0.6,-2,0,1
2022-02-05,3,695316.04,0.01744265453,0,716108.1822,-0.34,-1,0,0
2022-02-06,3,705732.04,0.004995614578,0,728182.1283,-0.26,-1,0,0
2022-02-07,3,728580.04,0.007744556569,0,752063.8697,-0.1,-1,0,0
2022-02-08,3,685404.04,0.04085823319,0,717480.8369,-0.04,-1,0,0
2022-02-09,3,710772.04,0.01872722237,0,739399.673,0.08,1,0,0
2022-02-10,3,696996.04,0.0210810213,0,725009.2356,0,1,0,0
2022-02-11,3,672300.04,0.006540319814,0,700818.3937,0,1,0,0
2022-02-12,3,678348.04,0.002109487995,0,705208.7463,-0.12,-1,0,0
2022-02-13,3,668772.04,0.001401762148,0,696793.1618,-0.12,-1,0,0
2022-02-14,3,678012.04,0.002458073037,0,706067.1503,-0.08,-1,0,0
2022-02-15,3,726732.04,0.03062375117,0,753063.8874,-0.08,-1,0,0
2022-02-16,3,718164.04,0.001563958952,0,743666.0071,0.02,1,0,0
2022-02-17,3,676332.04,0.03609005853,0,697496.0306,0.04,1,0,0
2022-02-18,3,670956.04,0.01291645122,0,691171.6219,-0.4,-1,0,0
2022-02-19,3,671964.04,0.0008863783766,0,692369.0047,-0.5,-1,0,0
2022-02-20,3,639708.04,0.007787226926,0,659963.415,-0.46,-1,0,0
2022-02-21,3,599388.04,0.03251337272,0,622080.7207,-0.5,-1,0,0
2022-02-22,3,629124.04,0.01446528692,0,650750.8142,-0.6,-2,0,0
2022-02-23,3,614508.04,0.003522946159,0,635306.3931,-0.5,-1,0,0
2022-02-24,3,607116.04,0.02237809842,0,633099.3926,-0.54,-2,0,0
2022-02-25,3,630300.04,0.02750268713,0,655235.3184,-0.46,-1,0,0
2022-02-26,3,628116.04,0.0009600416117,0,653084.4096,-0.48,-1,0,0
2022-02-27,3,605268.04,0.01018299403,0,629350.4098,-0.48,-1,0,0
2022-02-28,3,664908.04,0.1499246173,1,697574.9218,-0.6,-2,0,1
2022-03-01,3,686916.04,0.006936651704,0,720064.6586,0.02,1,0,0
2022-03-02,3,687924.04,0.002540588603,0,719007.0848,0.04,1,0,0
2022-02-02,4,1000000,0,0,1000000,-1,0,0,0
2022-02-03,4,1000000,0.002961452771,0,1011112.13,-0.6,-2,0,0
2022-02-04,4,1112855.633,0.1067568012,1,1126203.41,-0.6,-2,0,1
2022-02-05,4,1112087.914,0.01744265453,0,1121059.022,-0.34,-1,0,0
2022-02-06,4,1134716.742,0.004995614578,0,1148041.372,-0.26,-1,0,0
2022-02-07,4,1170960.786,0.007744556569,0,1187555.226,-0.1,-1,0,0
2022-02-08,4,1171132.786,0.04085823319,0,1192813.654,-0.04,-1,0,0
2022-02-09,4,1194264.947,0.01872722237,0,1201847.136,0.08,1,0,0
2022-02-10,4,1155847.744,0.0210810213,0,1178089.56,0,1,0,0
2022-02-11,4,1116967.063,0.006540319814,0,1147676.082,0,1,0,0
2022-02-12,4,1113160.77,0.002109487995,0,1143499.04,-0.12,-1,0,0
2022-02-13,4,1103800.313,0.001401762148,0,1139016.006,-0.12,-1,0,0
2022-02-14,4,1120004.586,0.002458073037,0,1152085.198,-0.08,-1,0,0
2022-02-15,4,1188839.13,0.03062375117,0,1206577.19,-0.08,-1,0,0
2022-02-16,4,1169101,0.001563958952,0,1188407.922,0.02,1,0,0
2022-02-17,4,1080831.218,0.03609005853,0,1097530.057,0.04,1,0,0
2022-02-18,4,1056220.519,0.01291645122,0,1082888.324,-0.4,-1,0,0
2022-02-19,4,1055794.135,0.0008863783766,0,1085721.23,-0.5,-1,0,0
2022-02-20,4,1007774.174,0.007787226926,0,1039863.391,-0.46,-1,0,0
2022-02-21,4,977110.8652,0.03251337272,0,1002429.831,-0.5,-1,0,0
2022-02-22,4,1007103.897,0.01446528692,0,1035581.71,-0.6,-2,0,0
2022-02-23,4,982806.4411,0.003522946159,0,1009037.724,-0.5,-1,0,0
2022-02-24,4,1003171.849,0.02237809842,0,1038084.019,-0.54,-2,0,0
2022-02-25,4,1041963.335,0.02750268713,0,1062286.452,-0.46,-1,0,0
2022-02-26,4,1041754.503,0.0009600416117,0,1059509.044,-0.48,-1,0,0
2022-02-27,4,995457.0336,0.01018299403,0,1021114.712,-0.48,-1,0,0
2022-02-28,4,1129259.259,0.1499246173,1,1168867.267,-0.6,-2,0,1
2022-03-01,4,1158119.628,0.006936651704,0,1203033.118,0.02,1,0,0
2022-03-02,4,1145239.652,0.002540588603,0,1188776.374,0.04,1,0,0
2022-03-03,4,1105411.287,0.007390268826,0,1149865.889,-0.22,-1,0,0
2022-03-04,4,1020575.141,0.02288090998,0,1060375.754,-0.34,-1,0,0
2022-03-05,4,1030726.708,0.004952731222,0,1067197.788,-0.56,-2,0,0
2022-03-06,4,998575.7831,0.004651271751,0,1040730.732,-0.56,-2,0,0
2022-03-07,4,983012.0103,0.01320746731,0,1029093.361,-0.54,-2,0,0
2022-03-08,4,1007200.566,0.01150993405,0,1049151.299,-0.58,-2,0,0
2022-03-09,4,1082016.814,0.04171340348,0,1135952.652,-0.56,-2,0,0
2022-03-10,4,1023037.967,0.01919318296,0,1067736.881,-0.44,-1,0,0
2022-03-11,4,1004525.71,0.003730402614,0,1049040.405,-0.56,-2,0,0
2022-03-12,4,1007481.494,0.0002884473382,0,1051145.065,-0.56,-2,0,0
2022-03-13,4,982817.5155,0.004022857053,0,1023239.261,-0.58,-2,0,0
2022-03-14,4,1024844.761,0.01382777198,0,1074481.996,-0.54,-2,0,0
2022-03-15,4,1022179.157,0.007854538237,0,1063909.193,-0.58,-2,0,0
2022-03-16,4,1074555.956,0.01011938776,0,1113536.931,-0.52,-2,0,0
2022-03-17,4,1076533.67,0.007854505822,0,1108297.657,-0.46,-1,0,0
2022-03-18,4,1108177.991,0.01232653834,0,1131013.893,-0.5,-1,0,0
2022-03-19,4,1117282.249,0.0008291463345,0,1143015.016,-0.44,-1,0,0
2022-03-20,4,1089140.435,0.002163919051,0,1117582.667,-0.38,-1,0,0
2022-03-21,4,1088738.871,0.005977795337,0,1110611.481,-0.4,-1,0,0
2022-03-22,4,1122624.557,0.003543261638,0,1147454.122,-0.48,-1,0,0
2022-03-23,4,1140504.771,0.001840499639,0,1161492.64,-0.38,-1,0,0
2022-03-24,4,1169462.028,0.001950528918,0,1191477.77,-0.2,-1,0,0
2022-03-25,4,1173669.479,0.002925010472,0,1200129.895,-0.06,-1,0,0
2022-03-26,4,1182924.281,0.002069821213,0,1205526.497,0.02,1,0,0
2022-03-27,4,1242666.116,0.008030750805,0,1268199.035,-0.02,-1,0,0
2022-03-28,4,1252756.063,0.0008794953563,0,1276146.587,0.2,1,0,0
2022-03-29,4,1267343.949,0.002559358286,0,1284621.158,0.12,1,0,0
2022-03-30,4,1259166.01,0.01154828448,0,1274785.706,0.1,1,0,0
2022-03-31,4,1218576.313,0.004854957275,0,1232614.838,0.04,1,0,0
2022-04-01,4,1255576.603,0.02709559027,0,1253652.704,0,1,0,0
2022-04-02,4,1246037.204,0.008414321585,0,1240804.54,0.04,1,0,0
2022-04-03,4,1266867.93,0.006417858857,0,1257020.307,-0.04,-1,0,0
2022-04-04,4,1269438.909,0.001385006246,0,1261671.378,0.04,1,0,0
2022-04-05,4,1235710.697,0.01002924827,0,1232406.343,0.06,1,0,0
2022-04-06,4,1163649.688,0.01953928704,0,1169362.137,-0.04,-1,0,0
2022-04-07,4,1176379.789,0.01778339479,0,1176890.277,-0.32,-1,0,0
2022-04-08,4,1151516.198,0.01542414416,0,1144575.841,-0.26,-1,0,0
2022-04-09,4,1169093.576,0.001705025308,0,1158172.929,-0.4,-1,0,0
