date,account_value,reward,daily_return,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2024-12-26,960386.9097282599,,,0.0,79.0,0.58,2.0,4
2024-12-27,956244.0480282599,,,0.0,74.0,0.48,1.0,4
2024-12-28,973038.22932826,,,0.0,72.0,0.44,1.0,4
2024-12-29,932901.4724282599,,,0.0,73.0,0.46,1.0,4
2024-12-30,917087.32292826,,,0.0,65.0,0.3,1.0,4
2024-12-31,928179.50102826,,,0.0,64.0,0.28,1.0,4
2025-01-01,1039190.3758282601,,,0.0,66.0,0.32,1.0,4
2025-01-02,1070195.0182282599,,,0.0,70.0,0.4,1.0,4
2025-01-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,5
2025-01-05,1000000.0,,,0.0,72.0,0.44,1.0,5
2025-01-06,1000000.0,,,0.0,76.0,0.52,2.0,5
2025-01-07,994736.0989216035,,,0.0,78.0,0.56,2.0,5
2025-01-08,994728.0774430074,,,0.0,70.0,0.4,1.0,5
2025-01-09,994728.0774430074,,,0.0,69.0,0.38,1.0,5
2025-01-10,1003462.487174076,,,0.0,50.0,0.0,1.0,5
2025-01-11,1038234.1234153552,,,0.0,69.0,0.38,1.0,5
2025-01-12,1038195.9963843783,,,0.0,62.0,0.24,1.0,5
2025-01-13,1038195.9963843783,,,0.0,61.0,0.22,1.0,5
2025-01-14,1038195.9963843783,,,0.0,63.0,0.26,1.0,5
2025-01-15,1038195.9963843783,,,0.0,70.0,0.4,1.0,5
2025-01-16,1038195.9963843783,,,0.0,75.0,0.5,2.0,5
2025-01-17,1038195.9963843783,,,0.0,75.0,0.5,2.0,5
2025-01-18,1030997.5323924184,,,0.0,77.0,0.54,2.0,5
2025-01-19,932933.6343924183,,,0.0,77.0,0.54,2.0,5
2025-01-20,979159.2531924184,,,0.0,76.0,0.52,2.0,5
2025-01-21,1000758.5361924183,,,0.0,76.0,0.52,2.0,5
2025-01-22,1002808.1031924183,,,0.0,84.0,0.68,2.0,5
2025-01-23,983605.2369924184,,,0.0,75.0,0.5,2.0,5
2025-01-24,977771.8539924184,,,0.0,75.0,0.5,2.0,5
2025-01-25,980010.6117924184,,,0.0,75.0,0.5,2.0,5
2025-01-26,952987.8591924184,,,0.0,73.0,0.46,1.0,5
2025-01-27,963361.8213924185,,,0.0,71.0,0.42,1.0,5
2025-01-28,963992.4573924183,,,0.0,72.0,0.44,1.0,5
2025-01-29,967492.4871924183,,,0.0,72.0,0.44,1.0,5
2025-01-30,986190.8445924184,,,0.0,70.0,0.4,1.0,5
2025-01-31,957339.2475924183,,,0.0,76.0,0.52,2.0,5
2025-02-01,907424.4081924184,,,0.0,68.0,0.36,1.0,5
2025-02-02,813522.7077924184,,,0.0,60.0,0.2,1.0,5
2025-02-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,6
2025-02-05,1000000.0,,,0.0,54.0,0.08,1.0,6
