date,account_value,daily_volatility,window,
2021-10-23,1484010.64871235,0.0191681006054959,27834.8272228312,1
2021-10-24,1468671.96191714,-0.0103359681472091,27650.8781481397,1
2021-10-25,1521398.21985179,0.035900636290369,28667.1190771343,1
2021-10-26,1463388.94200303,-0.0381289244931619,27393.4103360332,1
2021-10-27,1410091.8106196,-0.0364203458517865,26544.0764043321,1
2021-10-28,1481374.29389118,0.050551661058338,27473.2812939558,1
2021-10-29,1523678.81749562,0.0285576196231387,28224.8253191103,1
2021-10-30,1508093.31350293,-0.0102288643864637,28060.1048757773,1
2021-10-31,1494775.21314306,-0.00883108507983199,27805.3104191751,1
2021-10-03,1000000,0,0,2
2021-10-04,990147.6379,-0.00985236210000003,22338.9269744458,2
2021-10-05,1026835.2379,0.0370526561855064,23365.0761237541,2
