date,account_value,daily_volatility,volatility,turbulence,window
2022-01-01,886164.039999999,21525.475293429,0.182035598061455,0.00777805967978589,3
2022-01-02,892380.04,21305.9949514825,0.178539171263655,0.00725702454963858,3
2022-01-03,860292.04,20928.8198589733,0.176668719658072,0.00635104384539605,3
2022-01-04,851892.04,20637.22111172,0.176024202771471,0.00513581613812341,3
2022-01-05,796788.04,19576.8477887977,0.176789985278455,0.0138399474935543,3
2022-01-06,794268.04,19431.7674465128,0.176601194004889,0.0235486064429802,3
2022-01-07,753108.04,18768.5761324069,0.172507022300157,0.0117406577019256,3
2022-01-08,722532.04,18851.5957343792,0.16720296537363,0.0241729635425448,3
2022-01-09,737316.04,18921.292978963,0.168088081815544,0.00374739132149276,3
2022-01-10,713796.04,18919.7567326403,0.167027048721107,0.0101749442111443,3
2022-01-11,779148.04,19303.1993094276,0.195121182556561,0.0549987207952181,3
2022-01-12,819804.04,19821.309510365,0.18487246638633,0.00970465126516267,3
2022-01-13,798636.04,19220.3891232034,0.185732524454058,0.00483200088666835,3
2022-01-14,823500.04,19437.6604282328,0.186883258563627,0.00434874332153781,3
2022-01-15,831060.04,19444.011571913,0.185402369379382,0.000496770722473294,3
2022-01-16,837948.04,19432.6079989577,0.185671299265549,0.000379600904029203,3
2022-01-17,798636.04,19058.2254537095,0.190392032864273,0.00865023197787491,3
2022-01-18,792252.04,19140.5807959998,0.190400078909544,0.0049714492323564,3
2022-01-19,776292.04,18833.382847565,0.191022509776228,0.00132088384654988,3
2022-01-20,739836.04,18395.6949724276,0.19554706221588,0.012470127776846,3
2022-01-21,645252.04,16508.77951245,0.230895501318881,0.0654118361005023,3
2022-01-22,602244.04,15901.9393665832,0.234078869207109,0.0126792515731189,3
2022-01-23,645252.04,16420.4958113876,0.24940565151668,0.0220090788341789,3
2022-01-24,624084.04,16640.8222288383,0.249471548010991,0.0314801218291695,3
2022-01-25,647268.04,16773.3770122026,0.254248740994309,0.0171885106148323,3
2022-01-26,630468.04,16704.9057576649,0.250743748030575,0.0135229424268141,3
2022-01-27,655332.04,16874.587939611,0.252506223458253,0.0490674765191513,3
2022-01-28,648612.04,17111.6567868826,0.250859368005852,0.0568263019035792,3
2022-01-29,654324.04,17310.6724821442,0.250933549245593,0.00445169116893603,3
2022-01-30,633996.04,17179.523912917,0.251937078469929,0.0139932467308929,3
2022-01-31,629124.04,17437.5075185366,0.248387799864534,0.0229713931315562,3
2022-02-01,645756.04,17520.7782592954,0.250616436441688,0.0122614527428154,3
2022-02-02,616692.04,16701.524952599,0.251795473835171,0.011228928998932,3
2022-02-03,625764.04,16892.4293907201,0.253049455552931,0.0029614527713316,3
2022-02-04,671460.04,18828.0402828989,0.259423836694371,0.10675680123268,3
2022-02-05,695316.04,18730.4172835352,0.26261900412587,0.0174426545323132,3
2022-02-06,705732.04,19189.671818233,0.258178008474384,0.00499561457831419,3
2022-02-07,728580.04,19854.9047382403,0.256900504408364,0.00774455656885196,3
2022-02-08,685404.04,19961.9914477995,0.263254655729736,0.0408582331875477,3
2022-02-09,710772.04,20086.2625498744,0.264021141843474,0.0187272223664291,3
2022-02-10,696996.04,19711.8940217834,0.24685663149679,0.0210810212990009,3
2022-02-11,672300.04,19218.5800553081,0.2420413892987,0.00654031981430927,3
2022-02-12,678348.04,19146.1351601349,0.24152800158657,0.00210948799549649,3
2022-02-13,668772.04,19080.5015803259,0.238757127612643,0.00140176214812912,3
2022-02-14,678012.04,19293.5903504252,0.239118594366469,0.00245807303723966,3
2022-02-15,726732.04,20177.6505490098,0.25154487342476,0.0306237511652366,3
2022-02-16,718164.04,19876.0205176857,0.247602871289603,0.00156395895212743,3
2022-02-17,676332.04,18350.9820555855,0.253969648801511,0.0360900585252157,3
2022-02-18,670956.04,18120.9835498873,0.253455082821746,0.0129164512207474,3
2022-02-19,671964.04,18173.5143710639,0.249394515408796,0.000886378376594108,3
2022-02-20,639708.04,17412.0966275562,0.217580543231548,0.00778722692580593,3
2022-02-21,599388.04,16780.7776010714,0.216413834262167,0.032513372723427,3
2022-02-22,629124.04,17336.9588825036,0.20981817425863,0.0144652869215689,3
2022-02-23,614508.04,16889.8118081424,0.208446969607738,0.00352294615936569,3
2022-02-24,607116.04,17394.5017364689,0.205086056270813,0.0223780984166705,3
2022-02-25,630300.04,17774.0460279444,0.207256328966656,0.0275026871268036,3
2022-02-26,628116.04,17723.8228431421,0.203224769802803,0.000960041611696672,3
2022-02-27,605268.04,17094.6960598745,0.206240423390362,0.0101829940266423,3
2022-02-28,664908.04,19591.2464718443,0.229912739236874,0.149924617264426,3
2022-03-01,686916.04,20169.7521865011,0.229493509848364,0.00693665170437522,3
2022-03-02,687924.04,19927.1467016028,0.229205548295927,0.00254058860276622,3
2022-02-02,1000000,0,0,0,4
2022-02-03,1000000,16892.4293907201,0.253049455552931,0.0029614527713316,4
2022-02-04,1112855.63262777,18828.0402828989,0.259423836694371,0.10675680123268,4
2022-02-05,1112087.91440345,18730.4172835352,0.26261900412587,0.0174426545323132,4
2022-02-06,1134716.74239215,19189.671818233,0.258178008474384,0.00499561457831419,4
2022-02-07,1170960.78624505,19854.9047382403,0.256900504408364,0.00774455656885196,4
2022-02-08,1171132.78599431,19961.9914477995,0.263254655729736,0.0408582331875477,4
2022-02-09,1194264.94741456,20086.2625498744,0.264021141843474,0.0187272223664291,4
