date,account_value,daily_volatility,fear_greed,fear_greed_norm,window
2024-02-05,992765.19089817,19536.6143997588,60,0.2,15
2024-02-06,1023255.16615442,19704.5848919658,64,0.28,15
2024-02-07,1045864.7738079,20281.0063479765,62,0.24,15
2024-02-08,1043547.11276183,20721.4935064348,66,0.32,15
2024-02-09,1072421.13450906,21574.2173336358,72,0.44,15
2024-02-10,1078303.84714154,21862.7118394874,74,0.48,15
2024-02-11,1081290.36344624,22120.3068971391,71,0.42,15
2024-02-12,1147098.86373787,22846.8455349369,70,0.4,15
2024-02-13,1138471.03474303,22749.4719901026,79,0.58,15
2024-02-14,1196561.04739729,23704.7019390448,74,0.48,15
2024-02-15,1217250.29546598,23729.0972126351,72,0.44,15
2024-02-16,1208338.20192583,23847.041210972,72,0.44,15
2024-02-17,1201461.77871842,23625.6338569232,76,0.52,15
2024-02-18,1242453.24103537,23838.7902889336,72,0.44,15
2024-02-19,1269841.38923898,23653.576307099,75,0.5,15
2024-02-20,1299995.99533544,23865.5895751663,72,0.44,15
2024-02-21,1279950.64872803,23676.7159203256,78,0.56,15
2024-02-22,1281477.66380213,23410.9158228777,74,0.48,15
2024-02-23,1260273.5789328,23167.0788056821,76,0.52,15
2024-02-24,1290606.65576566,23538.3036496232,72,0.44,15
2024-02-25,1342289.91589125,23586.2317202176,74,0.48,15
2024-02-26,1369638.24873242,24863.0312495243,72,0.44,15
2024-02-27,1398187.49822431,26056.3696732159,79,0.58,15
2024-02-28,1458890.64266104,28561.3699863994,82,0.64,15
2024-02-29,1440285.29570762,27961.7982134447,80,0.6,15
2024-03-01,1480512.56742657,28531.403304647,80,0.6,15
2024-02-02,1000000,0,-1,-1,16
2024-02-03,994457.207701999,19680.5845080209,60,0.2,16
2024-02-04,991556.107702,19479.1004474271,60,0.2,16
2024-02-05,996769.427702,19536.6143997588,60,0.2,16
2024-02-06,1027430.157702,19704.5848919658,64,0.28,16
2024-02-07,1050145.337702,20281.0063479765,62,0.24,16
2024-02-08,1047742.187702,20721.4935064348,66,0.32,16
2024-02-09,1076757.517702,21574.2173336358,72,0.44,16
2024-02-10,1082680.957702,21862.7118394874,74,0.48,16
2024-02-11,1085698.967702,22120.3068971391,71,0.42,16
2024-02-12,1151852.707702,22846.8455349369,70,0.4,16
2024-02-13,1143192.707702,22749.4719901026,79,0.58,16
2024-02-14,1201569.767702,23704.7019390448,74,0.48,16
2024-02-15,1222258.507702,23729.0972126351,72,0.44,16
2024-02-16,1213256.437702,23847.041210972,72,0.44,16
2024-02-17,1206384.727702,23625.6338569232,76,0.52,16
2024-02-18,1247636.63770199,23838.7902889336,72,0.44,16
2024-02-19,1275175.437702,23653.576307099,75,0.5,16
2024-02-20,1305489.767702,23865.5895751663,72,0.44,16
2024-02-21,1285177.737702,23676.7159203256,78,0.56,16
2024-02-22,1286693.237702,23410.9158228777,74,0.48,16
2024-02-23,1265406.957702,23167.0788056821,76,0.52,16
2024-02-24,1295881.497702,23538.3036496232,72,0.44,16
2024-02-25,1347828.507702,23586.2317202176,74,0.48,16
2024-02-26,1375259.057702,24863.0312495243,72,0.44,16
2024-02-27,1404018.917702,26056.3696732159,79,0.58,16
2024-02-28,1464959.337702,28561.3699863994,82,0.64,16
2024-02-29,1446336.007702,27961.7982134447,80,0.6,16
2024-03-01,1486752.227702,28531.403304647,80,0.6,16
2024-03-02,1481543.237702,28344.4605294085,80,0.6,16
2024-03-03,1510298.767702,28859.7138065862,83,0.66,16
2024-03-04,1570897.117702,31245.13017282,82,0.64,16
2024-03-05,1538807.487702,29137.8571608601,90,0.8,16
2024-03-06,1653526.507702,30178.0759718931,75,0.5,16
2024-03-07,1675250.117702,30508.4884391916,82,0.64,16
