date,account_value,reward,daily_volatility,trade_count,volatility,turbulence,window
2023-02-26,1425652.806004537,2.409904718399048,10658.124269402295,0,0.15548066286249188,0.006647049408530929,11
2023-02-27,1421778.058025223,-0.38747480511665344,10631.325189019894,0,0.15597147109077034,0.002899677479331202,11
2023-02-28,1400597.0950076375,-2.118096351623535,10473.178859954603,0,0.15160617945188679,0.0037545012898185727,11
2023-03-01,1429975.818584219,2.9378724098205566,10689.442594997905,0,0.14832318189890062,0.022722141094986454,11
2023-03-02,1420054.0769719963,-0.9921741485595703,10616.863648018762,0,0.14767037320801193,0.0017217608497501501,11
2023-01-03,1000000.0,0.0,0.0,0,0.0,0.0,12
2023-03-05,998946.6080792232,-0.10533919185400009,10150.26781574205,3,0.14424435245305028,0.000760896746599995,12
2023-03-06,996548.072695923,-0.23985353112220764,10140.699763205035,1,0.1442449512983344,0.0005767415949025594,12
2023-03-07,997100.5446096321,0.055247191339731216,10041.323188987042,1,0.14450797122491923,0.005602643117530314,12
2023-03-08,984934.9055354982,-1.2165639400482178,9816.360269115363,1,0.14438611978230836,0.00698125918522347,12
2023-03-09,942291.851334124,-4.264305591583252,9206.941800576345,0,0.14404279850541077,0.033339923026569455,12
2023-03-10,940004.3751601651,-0.22874762117862701,9109.613276388605,0,0.1439114439498603,0.003593908942475737,12
2023-03-11,941114.1339719729,0.11097588390111923,9243.82671391141,0,0.1284486523746227,0.029592938389639698,12
2023-03-12,991517.4149556356,5.040328025817871,9943.14883682562,0,0.13706158264225338,0.03323798596251424,12
2023-03-13,1068060.487474356,7.6543073654174805,10914.441566311225,0,0.1538843954718892,0.0952379692293803,12
2023-03-14,1077112.9971844247,0.9052509665489197,11170.943025248833,0,0.1537193052818517,0.0057950397218101005,12
2023-03-15,1066632.0904021359,-1.0480906963348389,11000.959769721105,0,0.14118514895610743,0.01173783776515814,12
2023-03-16,1131094.03500731,6.446194648742676,11325.7008134194,0,0.15985198365989922,0.10825731651216497,12
2023-03-17,1187364.7094986155,5.627067565917969,12426.688221053375,0,0.1458222546277302,0.08471290085414929,12
2023-03-18,1161839.7520795302,-2.5524957180023193,12205.659637180159,0,0.1412340432758362,0.00462846757526132,12
2023-03-19,1190245.6847743134,2.8405933380126953,12701.153873677076,0,0.1395708140671391,0.022470027406791625,12
2023-03-20,1176627.7712097361,-1.3617913722991943,12592.115613930806,0,0.14010998966486618,0.010905679395980998,12
2023-03-21,1186746.592107997,1.0118820667266846,12759.732499683874,0,0.13890043794152893,0.03159014905127671,12
2023-03-22,1143257.6758201697,-4.348891735076904,12375.217323072216,0,0.1449664841689195,0.013164335226133098,12
2023-03-23,1177667.0350073103,3.4409358501434326,12847.729271122842,0,0.14641945948153154,0.011416811937405664,12
2023-03-24,1148507.675240307,-2.91593599319458,12467.491311530515,0,0.14848981309399048,0.006976508233200533,12
2023-03-25,1149309.909066348,0.08022338151931763,12473.072417179339,0,0.14771059965318661,0.0005121801583504394,12
2023-03-26,1171080.0414712003,2.1770131587982178,12702.416972852057,0,0.14698546096210277,0.002272096980936804,12
2023-03-27,1116705.0719087268,-5.437497138977051,12322.664412539467,0,0.15832843451886122,0.027371396598304402,12
2023-03-28,1124908.348401084,0.820327639579773,12373.631939946601,0,0.15718675423086853,0.03443667927203342,12
2023-03-29,1141371.648111153,1.6463299989700317,12881.253938218382,0,0.15648227947694865,0.032251261247055414,12
2023-03-30,1143251.542545524,0.18798944354057312,12729.734770421048,0,0.15613928672217758,0.009417642786948791,12
2023-03-31,1150628.5322555925,0.7376989722251892,12929.268655357115,0,0.1561206560282987,0.002161876805275013,12
2023-04-01,1145738.963415318,-0.48895689845085144,12923.988935157236,0,0.15589897280748377,0.0004528279866311722,12
2023-04-02,1138901.748111153,-0.6837215423583984,12797.723558745387,0,0.15206763350408165,0.0026007597456039707,12
2023-04-03,1122202.6989524798,-1.6699049472808838,12620.41908453739,0,0.15313952328998626,0.01877283149767641,12
2023-04-04,1132209.4177927545,1.0006718635559082,12779.093966335102,0,0.15307412711127524,0.017569657248414496,12
2023-04-05,1139689.3039951804,0.7479886412620544,12772.205707092604,0,0.15310955177595909,0.016017046499984065,12
2023-04-06,1133905.3569229606,-0.5783947110176086,12716.288712210371,0,0.15332725538823935,0.006949742622561501,12
2023-04-07,1127383.8680826856,-0.6521489024162292,12658.644481887555,0,0.15324411938566257,0.0003295528177336332,12
2023-04-08,1128258.9239667132,0.08750558644533157,12676.887642523126,0,0.14805317640461993,0.0026041302934752164,12
2023-04-09,1139101.6866330293,1.0842763185501099,12855.574335247205,0,0.14805326615930278,0.0014887463497177554,12
