agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,,Avg.Winners,Avg.Loosers, Loosers, Winners,
,,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,,, Rolling window_2: 2020-07-04 to 2021-08-31
,,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,,, Rolling window_3: 2020-09-04 to 2021-11-01
,,,,,,,,,,,,,,,,,,,, Rolling window_4: 2020-11-04 to 2021-12-31
,,,,,,,,,,,,,,,,,,,, Rolling window_5: 2021-01-04 to 2022-03-03
,,,,,,,,,,,,,,,,,,,, Rolling window_6: 2021-03-04 to 2022-05-01
,,,,,,,,,,,,,,,,,,,, Rolling window_7: 2021-05-04 to 2022-07-03
,,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,,, Rolling window_8: 2021-07-04 to 2022-08-31
,,,,,,,,,,,,,,,,,,,, Rolling window_9: 2021-09-04 to 2022-11-01
,,,,,,,,,,,,,,,,,,,, Rolling window_10: 2021-11-04 to 2022-12-31
,,,,,,,,,,,,,,,,,,,, Rolling window_11: 2022-01-04 to 2023-03-03
,,,,,,,,,,,,,,,,,,,, Rolling window_12: 2022-03-04 to 2023-05-01
,,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,,, Rolling window_13: 2022-05-04 to 2023-07-03
,,,,,,,,,,,,,,,,,,,, Rolling window_14: 2022-07-04 to 2023-08-31
,,,,,,,,,,,,,,,,,,,, Rolling window_15: 2022-09-04 to 2023-11-01
,,,,,,,,,,,,,,,,,,,, Rolling window_16: 2022-11-04 to 2023-12-31
,,,,,,,,,,,,,,,,,,,, Rolling window_17: 2023-01-04 to 2024-03-02
,,,,,,,,,,,,,,,,,,,, Rolling window_18: 2023-03-04 to 2024-05-01
,,,,,,,,,,,,,,,,,,,, Rolling window_19: 2023-05-04 to 2024-07-02
,,,,,,,,,,,,,,,,,,,, Rolling window_20: 2023-07-04 to 2024-08-31
,,,,,,,,,,,,,,,,,,,, Rolling window_21: 2023-09-04 to 2024-11-01
,,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,,, Rolling window_22: 2023-11-04 to 2024-12-31
,,,,,,,,,,,,,,,,,,,, Rolling window_23: 2024-01-04 to 2025-03-03
,,,,,,,,,,,,,,,,,,,, Rolling window_24: 2024-03-04 to 2025-05-01
,,,,,,,,,,,,,,,,,,,,Trade Metrics saved to {'/home/derya/finrl_research/results/ft_trading_metrix.csv'
