agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,,Avg.Winners,Avg.Loosers, Loosers, Winners
PPO,18,2023-03-04,2023-09-03,2024-01-03,2024-05-01,-0.0868,957975.72,1154789,-0.042,0.0345,0.1704,1000000,957975.72,,,,,,
A2C,19,2023-05-04,2023-11-03,2024-03-04,2024-07-02,-0.7985,923315.49,1127885.88,-0.0589,0.0199,0.1814,1000000,941127.09,,,,,,
DDPG,20,2023-07-04,2024-01-03,2024-05-03,2024-08-31,-0.4726,800204.35,1038495.25,-0.0775,0.0332,0.2295,1000000,922537.35,,,,,,
PPO,21,2023-09-04,2024-03-03,2024-07-03,2024-11-01,0.5998,902758.92,1115618.03,0.0288,0.0246,0.1219,1000000,1028776.16,,,,,,
A2C,22,2023-11-04,2024-05-03,2024-09-02,2024-12-31,3.3711,972377.77,1457899.11,0.2746,0.0251,0.1257,1000000,1274586.16,,,,,,
A2C,23,2024-01-04,2024-07-03,2024-11-03,2025-03-03,-1.2085,806469.57,1032685.62,-0.1166,0.0273,0.2191,1000000,883431.42,,,,,,
DDPG,24,2024-03-04,2024-09-03,2025-01-03,2025-05-01,0.6009,909985.78,1091235.22,0.0271,0.0237,0.1312,1000000,1027069.46,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, Window 1 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_1: 2020-05-04 to 2021-07-03
,,,,,,,,,,,,,,,,,,, Window 2 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_2: 2020-07-04 to 2021-08-31
,,,,,,,,,,,,,,,,,,, Window 3 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_3: 2020-09-04 to 2021-11-01
,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,, Window 4 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_4: 2020-11-04 to 2021-12-31
,,,,,,,,,,,,,,,,,,, Window 5 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_5: 2021-01-04 to 2022-03-03
,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,, Window 6 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_6: 2021-03-04 to 2022-05-01
,,,,,,,,,,,,,,,,,,, Window 7 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_7: 2021-05-04 to 2022-07-03
,,,,,,,,,,,,,,,,,,, Window 8 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_8: 2021-07-04 to 2022-08-31
,,,,,,,,,,,,,,,,,,, Window 9 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_9: 2021-09-04 to 2022-11-01
,,,,,,,,,,,,,,,,,,, Window 10 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_10: 2021-11-04 to 2022-12-31
,,,,,,,,,,,,,,,,,,, Window 11 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_11: 2022-01-04 to 2023-03-03
,,,,,,,,,,,,,,,,,,, Window 12 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_12: 2022-03-04 to 2023-05-01
,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,, Window 13 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_13: 2022-05-04 to 2023-07-03
,,,,,,,,,,,,,,,,,,, Window 14 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_14: 2022-07-04 to 2023-08-31
,,,,,,,,,,,,,,,,,,, Window 15 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_15: 2022-09-04 to 2023-11-01
,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,, Window 16 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_16: 2022-11-04 to 2023-12-31
,,,,,,,,,,,,,,,,,,, Window 17 — Train window length: 180
,,,,,,,,,,,,,,,,,,, Rolling window_17: 2023-01-04 to 2024-03-02
,,,,,,,,,,,,,,,,,,, Window 18 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_18: 2023-03-04 to 2024-05-01
,,,,,,,,,,,,,,,,,,, Window 19 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_19: 2023-05-04 to 2024-07-02
,,,,,,,,,,,,,,,,,,, Window 20 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_20: 2023-07-04 to 2024-08-31
,,,,,,,,,,,,,,,,,,, Window 21 — Train window length: 181
,,,,,,,,,,,,,,,,,,, Rolling window_21: 2023-09-04 to 2024-11-01
,,,,,,,,,,,,,,,,,,, Window 22 — Train window length: 181
,,,,,,,,,,,,,,,,,,, Rolling window_22: 2023-11-04 to 2024-12-31
,,,,,,,,,,,,,,,,,,, Window 23 — Train window length: 181
,,,,,,,,,,,,,,,,,,, Rolling window_23: 2024-01-04 to 2025-03-03
,,,,,,,,,,,,,,,,,,,[EVAL] Sharpe Debug: No volatility or insufficient data.
,,,,,,,,,,,,,,,,,,, Window 24 — Train window length: 183
,,,,,,,,,,,,,,,,,,, Rolling window_24: 2024-03-04 to 2025-05-01
